MNH120 scaffold	MNH120 id	USR5 scaffold	USR5 id	B04 scaffold	B04 id	MNH120 function	USR5 function	B04 function
		NODE_5090_length_307152_cov_15.165000	NS.08741					
scaffold_996	atg10723	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14234.1.22	B04S209	B04S209.g10079	DNA damage repair protein, possible tRNA-splicing endonuclease	DNA damage repair protein, possible tRNA-splicing endonuclease	DNA damage repair protein, possible tRNA-splicing endonuclease
		NODE_5090_length_307152_cov_15.165000	NS.08742					
scaffold_996	atg10724	NODE_5090_length_307152_cov_15.165000	NS.08743	B04S209	B04S209.g10080	Secreted protein with possible transmembrane domain, unknown function	Possible transmembrane protein, unknown function	Secreted protein with possible transmembrane domain, unknown function
scaffold_996	atg10725	NODE_5090_length_307152_cov_15.165000	NS.08744	B04S209	B04S209.g10082	YjbQ-like protein, possible secondary thiamine-phosphate synthase activity	YjbQ-like protein, possible secondary thiamine-phosphate synthase activity	YjbQ-like protein, possible secondary thiamine-phosphate synthase activity
scaffold_996	atg10726	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14238.1.25	B04S209	B04S209.g10083			
		NODE_5090_length_307152_cov_15.16500	NS.08745	B04S209	B04S209.g10084			
		NODE_5090_length_307152_cov_15.16500	NS.08746					
scaffold_554	atg4020	NODE_5090_length_307152_cov_15.165000	NS.08747	B04S181	B04S181.g9491	Possible nuclear transport factor 2-like protein	Possible nuclear transport factor 2-like protein	Possible nuclear transport factor 2-like protein
scaffold_987	atg10943	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14241.1.26	B04S181	B04S181.g9490	Nuclear movement protein NUDC, possible HSP20-like chaperone	Nuclear movement protein NUDC, possible HSP20-like chaperone	Nuclear movement protein NUDC, possible HSP20-like chaperone
		NODE_5090_length_307152_cov_15.16500	exon.CUFF.14242.1.27					
scaffold_987	atg10942	NODE_5090_length_307152_cov_15.165000	NS.08748	B04S181	B04S181.g9489	Probable lipid transporter/ligase, possible Acetyl-CoA synthetase-like protien	Probable lipid transporter/ligase, possible Acetyl-CoA synthetase-like protien	Probable lipid transporter/ligase, possible Acetyl-CoA synthetase-like protien
				B04S181	B04S181.g9488			
scaffold_987	atg10941	NODE_5090_length_307152_cov_15.165000	NS.08749	B04S181	B04S181.g9487	NCS1 family purine-pyrimidine transporter/permease	NCS1 family purine-pyrimidine transporter/permease	NCS1 family purine-pyrimidine transporter/permease
scaffold_987	atg10941	NODE_5090_length_307152_cov_15.165000	NS.08750	B04S181	B04S181.g9487	NCS1 family purine-pyrimidine transporter/permease	NCS1 family purine-pyrimidine transporter/permease	NCS1 family purine-pyrimidine transporter/permease
scaffold_987	atg10940	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14250.2.30	B04S181	B04S181.g9486	Sterol reductase/Lamin B receptor	Sterol reductase/Lamin B receptor	Sterol reductase/Lamin B receptor
scaffold_987	atg10939	NODE_5090_length_307152_cov_15.165000	exon.CUFF.14248.1.31	B04S181	B04S181.g9485	Zinc finger C2H2 type domain protein	Zinc finger C2H2 type domain protein	
scaffold_987	atg10906	NODE_5090_length_307152_cov_15.165000	NS.08751	B04S181	B04S181.g9484			
		NODE_5090_length_307152_cov_15.165000	NS.08752	B04S181	B04S181.g9484			
